PartitionTime,FPS
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,46.49065
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,57.29247
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,73.26544
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,116.8061
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,122.8999
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,124.5191
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,101.2453
0,103.8379
0,103.8379
0,103.8379
0,103.8379
1,103.8379
0,103.8379
0,103.8379
2,42.02935
0,42.02935
0,42.02935
0,42.02935
1,42.02935
0,42.02935
4,42.02935
5,42.02935
0,42.02935
4,42.02935
0,29.66699
1,29.66699
0,29.66699
0,29.66699
0,29.66699
0,29.66699
0,29.66699
0,29.66699
0,29.66699
0,29.66699
0,40.4158
0,40.4158
0,40.4158
0,40.4158
0,40.4158
0,40.4158
0,40.4158
0,40.4158
3,40.4158
0,43.56558
1,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,43.56558
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,86.69493
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,82.75611
0,73.86069
0,73.86069
0,73.86069
0,73.86069
0,73.86069
0,73.86069
0,73.86069
0,73.86069
0,73.86069
